family,n,config,build_s,size_mb,rss_mb,rss_peak_mb,rss_delta_mb,qps,latency_ms,latency_p99_ms,recall_1,recall_10,recall_100
IVFFlat,100000,"{'nlist': 4096, 'nprobe': 64}",132.193783574,814.044322013855,1457.71875,2508.0546875,935.80859375,6543.249121400507,0.1528450642799968,0.15306066054559633,0.99108,0.97972,0.930688
IVFPQ,100000,"{'nlist': 4096, 'nprobe': 64, 'M': 64}",145.18320081299998,40.89787673950195,1401.140625,4877.46484375,263.7109375,22334.46693468819,0.044751308133327256,0.04478391794558556,0.55664,0.61846,0.6773696
IVFSQ,100000,"{'nlist': 4096, 'nprobe': 64, 'sq': 'SQ8'}",143.63516496700004,228.12248992919922,1108.4609375,2647.6015625,39.4140625,15566.805017206583,0.06428128808000111,0.06440711686399918,0.98408,0.974868,0.9298148
HNSW,100000,"{'M': 32, 'efC': 200, 'efS': 160}",11.5785224440001,807.209810256958,1852.61328125,3024.9296875,781.3203125,8178.215645114526,0.12307848433332158,0.12561608215518427,0.99448,0.994,0.9828008
LSH,100000,{'nbits': 4096},12.237448705999668,80.82821369171143,1117.37109375,3070.94140625,104.8984375,2342.4428450087694,0.4280819270933353,0.43127918862160225,0.39524,0.49874,0.5520412
IVFFlat,250000,"{'nlist': 4096, 'nprobe': 64}",268.27256579500045,1987.0637311935425,3181.828125,5458.5703125,2053.46484375,1701.1896658111984,0.5882024107466592,0.5897136540623935,0.996,0.98956,0.9668332
IVFPQ,250000,"{'nlist': 4096, 'nprobe': 64, 'M': 64}",283.71082277000005,51.19755935668945,2083.93359375,6732.6953125,30.171875,18433.68189436289,0.054436567853347995,0.05487241309120218,0.51368,0.600164,0.6549128
IVFSQ,250000,"{'nlist': 4096, 'nprobe': 64, 'sq': 'SQ8'}",279.6472257969999,522.2356491088867,2035.0,5099.2734375,60.7421875,6906.798118240835,0.14478661432001294,0.1448381883416194,0.98604,0.982592,0.9646812
HNSW,250000,"{'M': 32, 'efC': 200, 'efS': 160}",47.4103978789999,2018.0150470733643,3580.53515625,7040.5546875,2018.0078125,5523.736472995292,0.1811329970133253,0.1814816703431985,0.99756,0.997596,0.9899868
LSH,250000,{'nbits': 4096},30.62185329499971,154.07040119171143,1638.3515625,4764.359375,123.3203125,1131.0585542806461,0.8842357037866653,0.8844593486056096,0.33704,0.438332,0.5066672
IVFFlat,500000,"{'nlist': 4096, 'nprobe': 64}",299.24842776100013,3942.096079826355,6279.578125,10078.50390625,4787.859375,651.1039319561104,1.53530059585332,1.536506321391968,0.99556,0.992816,0.9793944
IVFPQ,500000,"{'nlist': 4096, 'nprobe': 64, 'M': 64}",319.78478873899985,68.36369705200195,3115.56640625,9071.7578125,311.94140625,14101.009290572894,0.0708926944133297,0.07110673359920329,0.4732,0.579788,0.6366436
