family,scenario,threshold,threshold_fallback,recall_100,qps,size_mb,latency_ms,latency_p99_ms,build_s,rss_mb,rss_peak_mb,rss_delta_mb,config
HNSW,best_recall,0.0,True,0.999814,1094.4159667526174,10341.63600730896,0.9148567404665906,0.9172484421789412,808.1177557649935,10432.1796875,19288.20703125,10165.671875,"M=32.0, efConstruction=400.0, efSearch=640.0"
HNSW,best_footprint,0.0,True,0.993864,2225.6682005588336,10107.568914413452,0.449104474732303,0.4498172047310508,266.57782168600534,10175.796875,19461.2890625,9688.96484375,"M=8.0, efConstruction=200.0, efSearch=640.0"
HNSW,best_qps_at_0.95,0.95,False,0.958852,7891.37265432612,10185.3939037323,0.1267616846666593,0.1270935244467691,362.2881539410009,10279.02734375,20536.34765625,10012.69921875,"M=16.0, efConstruction=200.0, efSearch=80.0"
HNSW,best_qps_at_0.9,0.9,False,0.917486,11849.8202696381,10107.568914413452,0.0845225287329716,0.0848352097802562,266.57782168600534,10175.796875,19461.2890625,9688.96484375,"M=8.0, efConstruction=200.0, efSearch=80.0"
HNSW,best_qps_at_0.8,0.8,False,0.813188,18441.19071325208,10107.568914413452,0.0542175800655968,0.0542281562407151,266.57782168600534,10175.796875,19461.2890625,9688.96484375,"M=8.0, efConstruction=200.0, efSearch=40.0"
HNSW,best_qps_at_0.5,0.5,False,0.579432,28605.651718906007,10185.3939037323,0.0352778740673481,0.035915303973481,362.2881539410009,10279.02734375,20536.34765625,10012.69921875,"M=16.0, efConstruction=200.0, efSearch=10.0"
HNSW,best_qps_at_0.2,0.2,False,0.478456,34489.06369665857,10107.568914413452,0.0294580925333624,0.033505495124089,266.57782168600534,10175.796875,19461.2890625,9688.96484375,"M=8.0, efConstruction=200.0, efSearch=10.0"
IVFFlat,best_recall,0.0,True,0.999998,5.657263420489138,10020.893801689148,176.8065651447333,176.89075572670404,55.62560458399821,13738.48046875,25766.6328125,9403.8515625,"nlist=256.0, nprobe=256.0"
IVFFlat,best_footprint,0.0,True,0.999998,5.657263420489138,10020.893801689148,176.8065651447333,176.89075572670404,55.62560458399821,13738.48046875,25766.6328125,9403.8515625,"nlist=256.0, nprobe=256.0"
IVFFlat,best_qps_at_0.95,0.95,False,0.96964,1096.9731827569085,10147.016848564148,0.9113077864666896,0.911894117387652,2941.8852853309945,15563.05078125,26106.9140625,14104.97265625,"nlist=16384.0, nprobe=64.0"
