algo,M,efConstruction,efSearch,build_s,size_mb,rss_mb,rss_peak_mb,rss_delta_mb,faiss_threads,qps,latency_ms,latency_p99_ms,recall_1,recall_10,recall_100,n_base,study
HNSW,8,200,10,88.63366998300262,3944.671678543091,4443.17578125,10943.30859375,3946.02734375,8,43897.19720666908,0.0227989398335921,0.0292339818435721,0.8595,0.79384,0.496334,500000,varyM
HNSW,8,200,20,88.63366998300262,3944.671678543091,4443.17578125,10943.30859375,3946.02734375,8,32695.401048260104,0.0306745012339282,0.0421551639774406,0.9365,0.89826,0.673932,500000,varyM
HNSW,8,200,40,88.63366998300262,3944.671678543091,4443.17578125,10943.30859375,3946.02734375,8,22492.1103019269,0.0445710030001161,0.0651845180123928,0.9715,0.95417,0.83598,500000,varyM
HNSW,8,200,80,88.63366998300262,3944.671678543091,4443.17578125,10943.30859375,3946.02734375,8,14686.323625434325,0.0681528193000607,0.1066058296091796,0.9877,0.98106,0.933891,500000,varyM
HNSW,8,200,160,88.63366998300262,3944.671678543091,4443.17578125,10943.30859375,3946.02734375,8,9150.40247899625,0.1093864691008396,0.1877217138091509,0.995,0.99269,0.974794,500000,varyM
HNSW,8,200,320,88.63366998300262,3944.671678543091,4443.17578125,10943.30859375,3946.02734375,8,5547.5011786523,0.1802033195988769,0.306821947779099,0.997,0.99652,0.990314,500000,varyM
HNSW,8,200,640,88.63366998300262,3944.671678543091,4443.17578125,10943.30859375,3946.02734375,8,2923.035989736313,0.342115471434469,0.5866731558060565,0.9984,0.99834,0.996272,500000,varyM
HNSW,16,200,10,112.84637820499847,3975.048578262329,4531.80859375,10795.140625,3994.80078125,8,33919.48107436987,0.0293595007343052,0.0416986097974586,0.9205,0.86845,0.593598,500000,varyM
HNSW,16,200,20,112.84637820499847,3975.048578262329,4531.80859375,10795.140625,3994.80078125,8,24490.50414380244,0.0407793833317555,0.0622204640145355,0.966,0.94318,0.765405,500000,varyM
HNSW,16,200,40,112.84637820499847,3975.048578262329,4531.80859375,10795.140625,3994.80078125,8,16355.836693360154,0.0611100909328039,0.0974764199432684,0.9875,0.97879,0.902436,500000,varyM
HNSW,16,200,80,112.84637820499847,3975.048578262329,4531.80859375,10795.140625,3994.80078125,8,10418.48002481102,0.0958080502657443,0.1641024377866415,0.9961,0.9931,0.968478,500000,varyM
HNSW,16,200,160,112.84637820499847,3975.048578262329,4531.80859375,10795.140625,3994.80078125,8,6279.464783309327,0.1591060779022276,0.2857982034511224,0.9985,0.99802,0.990841,500000,varyM
HNSW,16,200,320,112.84637820499847,3975.048578262329,4531.80859375,10795.140625,3994.80078125,8,3919.222405710976,0.2551452457323951,0.4683262584250768,0.999,0.99928,0.997527,500000,varyM
HNSW,16,200,640,112.84637820499847,3975.048578262329,4531.80859375,10795.140625,3994.80078125,8,2040.012782564415,0.4894370070640434,0.8858834551574545,0.9996,0.99971,0.999367,500000,varyM
HNSW,32,200,10,127.36405289200049,4036.012666702272,4594.2265625,10902.50390625,4033.97265625,8,28959.06996568263,0.0343735750673658,0.0525833522093307,0.9356,0.89194,0.634014,500000,varyM
HNSW,32,200,20,127.36405289200049,4036.012666702272,4594.2265625,10902.50390625,4033.97265625,8,20444.15357044313,0.0488108634656479,0.0783702019827615,0.9739,0.95801,0.801106,500000,varyM
HNSW,32,200,40,127.36405289200049,4036.012666702272,4594.2265625,10902.50390625,4033.97265625,8,13633.186750648456,0.0733370895326515,0.1245988280039455,0.9911,0.98593,0.925309,500000,varyM
HNSW,32,200,80,127.36405289200049,4036.012666702272,4594.2265625,10902.50390625,4033.97265625,8,8571.135597755081,0.1167399193664702,0.2070096717776323,0.9976,0.99584,0.979423,500000,varyM
HNSW,32,200,160,127.36405289200049,4036.012666702272,4594.2265625,10902.50390625,4033.97265625,8,5104.314806805589,0.195944394136192,0.3697512016013206,0.9985,0.99872,0.994734,500000,varyM
