algo,nlist,nprobe,build_s,size_mb,rss_mb,rss_peak_mb,rss_delta_mb,faiss_threads,qps,latency_ms,latency_p99_ms,recall_1,recall_10,recall_100,n_base,M,nbits,sq
IVFFlat,256,1,44.6968523380001,3912.066782951355,9098.2109375,13348.328125,4769.2578125,8,2137.996926530977,0.4675571553339371,0.9214357191762244,0.7745,0.75181,0.695758,500000,,,
IVFFlat,256,4,44.6968523380001,3912.066782951355,9098.2109375,13348.328125,4769.2578125,8,377.1204034121439,2.6489014201336127,3.8937704472122254,0.9688,0.96042,0.938679,500000,,,
IVFFlat,256,16,44.6968523380001,3912.066782951355,9098.2109375,13348.328125,4769.2578125,8,85.05248360929167,11.763262790466191,14.2195757462232,0.9979,0.9965,0.992744,500000,,,
IVFFlat,256,64,44.6968523380001,3912.066782951355,9098.2109375,13348.328125,4769.2578125,8,29.317622851445662,34.095798077099246,34.93418229860545,1.0,0.99991,0.999708,500000,,,
IVFFlat,256,256,44.6968523380001,3912.066782951355,9098.2109375,13348.328125,4769.2578125,8,16.06625366732304,62.23972280966694,64.18332807479165,1.0,1.0,0.999996,500000,,,
IVFFlat,1024,1,164.05285833699963,3918.072642326355,9296.41015625,13594.69921875,4712.11328125,8,14644.592943958543,0.0686759233343764,0.1194926337910146,0.7075,0.6579,0.567941,500000,,,
IVFFlat,1024,4,164.05285833699963,3918.072642326355,9296.41015625,13594.69921875,4712.11328125,8,3905.145153587052,0.2562924723331283,0.4378681740046886,0.9381,0.91653,0.872136,500000,,,
IVFFlat,1024,16,164.05285833699963,3918.072642326355,9296.41015625,13594.69921875,4712.11328125,8,671.8364667313199,1.488605612867529,2.079838266400111,0.9916,0.98834,0.976869,500000,,,
IVFFlat,1024,64,164.05285833699963,3918.072642326355,9296.41015625,13594.69921875,4712.11328125,8,142.74177653896805,7.006399842967403,8.168483888613627,0.9992,0.99901,0.99811,500000,,,
IVFFlat,1024,256,164.05285833699963,3918.072642326355,9296.41015625,13594.69921875,4712.11328125,8,40.19896663547953,24.873237055067023,25.579132317013137,1.0,0.99996,0.999952,500000,,,
IVFFlat,1024,1024,164.05285833699963,3918.072642326355,9296.41015625,13594.69921875,4712.11328125,8,16.131019769752367,61.99526544663283,64.08618860739662,1.0,1.0,0.999996,500000,,,
IVFFlat,4096,1,644.1441437479989,3942.096079826355,9204.0703125,13026.2578125,3565.95703125,8,14886.279121373607,0.0677692580337558,0.1184669038077117,0.56,0.49432,0.352037,500000,,,
IVFFlat,4096,4,644.1441437479989,3942.096079826355,9204.0703125,13026.2578125,3565.95703125,8,9592.257783328623,0.1043436873669027,0.1363397618311864,0.879,0.83634,0.731958,500000,,,
IVFFlat,4096,16,644.1441437479989,3942.096079826355,9204.0703125,13026.2578125,3565.95703125,8,3953.3894185714025,0.2533074609675774,0.3683415595965925,0.9762,0.96408,0.92609,500000,,,
IVFFlat,4096,64,644.1441437479989,3942.096079826355,9204.0703125,13026.2578125,3565.95703125,8,870.3531857445829,1.1514189945000302,1.4929856156049937,0.9967,0.99557,0.988314,500000,,,
IVFFlat,4096,256,644.1441437479989,3942.096079826355,9204.0703125,13026.2578125,3565.95703125,8,190.31460133002065,5.253348737332029,5.8884428203753485,0.9998,0.99981,0.999401,500000,,,
IVFFlat,4096,1024,644.1441437479989,3942.096079826355,9204.0703125,13026.2578125,3565.95703125,8,48.79824378404165,20.494675304265304,21.07992551498028,1.0,0.99999,0.999988,500000,,,
IVFFlat,16384,1,2566.328404876,4038.189829826355,9636.60546875,13234.0703125,2866.84375,8,1563.6192599218462,0.6396895365642801,0.6828115606469509,0.4558,0.35251,0.182434,500000,,,
IVFFlat,16384,4,2566.328404876,4038.189829826355,9636.60546875,13234.0703125,2866.84375,8,1508.9281941319678,0.6632505900653389,0.7002885484129364,0.7927,0.7104,0.501291,500000,,,
IVFFlat,16384,16,2566.328404876,4038.189829826355,9636.60546875,13234.0703125,2866.84375,8,1413.6182856180037,0.7073714130650236,0.7662797500066517,0.9532,0.91938,0.828255,500000,,,
IVFFlat,16384,64,2566.328404876,4038.189829826355,9636.60546875,13234.0703125,2866.84375,8,1141.8855724543707,0.8756101952677757,1.0825237896184263,0.9922,0.98365,0.958067,500000,,,
IVFFlat,16384,256,2566.328404876,4038.189829826355,9636.60546875,13234.0703125,2866.84375,8,571.1612497191358,1.751215947034143,2.079194343597192,0.9997,0.9985,0.994851,500000,,,
IVFFlat,16384,1024,2566.328404876,4038.189829826355,9636.60546875,13234.0703125,2866.84375,8,175.75677551887097,5.68544453429798,6.389996612035612,1.0,0.99993,0.999817,500000,,,
IVFPQ,1024,1,195.3030141950003,29.08147048950196,6962.27734375,12541.1015625,61.9140625,8,44425.41851890866,0.0230990532682578,0.0604884740037959,0.3326,0.45528,0.499929,500000,32.0,8.0,
IVFPQ,1024,4,195.3030141950003,29.08147048950196,6962.27734375,12541.1015625,61.9140625,8,37186.73748277896,0.0271858726320109,0.0335029440335347,0.3568,0.50524,0.59845,500000,32.0,8.0,
IVFPQ,1024,16,195.3030141950003,29.08147048950196,6962.27734375,12541.1015625,61.9140625,8,21884.943820999582,0.0458404918659653,0.0555815202598751,0.3584,0.50904,0.606604,500000,32.0,8.0,
IVFPQ,1024,64,195.3030141950003,29.08147048950196,6962.27734375,12541.1015625,61.9140625,8,8247.955379304722,0.1214769790677867,0.1392594478253158,0.3584,0.50912,0.606845,500000,32.0,8.0,
IVFPQ,1024,256,195.3030141950003,29.08147048950196,6962.27734375,12541.1015625,61.9140625,8,2832.612305892474,0.3529813145994315,0.4056098318054864,0.3584,0.50912,0.606849,500000,32.0,8.0,
IVFPQ,1024,1024,195.3030141950003,29.08147048950196,6962.27734375,12541.1015625,61.9140625,8,1032.7131264771328,0.9663453765995657,1.1392997823822952,0.3584,0.50912,0.606849,500000,32.0,8.0,
IVFPQ,1024,1,178.9395688079967,44.34025955200195,6910.83984375,13513.66015625,97.875,8,40140.19702397011,0.0249461118660595,0.0274133699975209,0.4375,0.52479,0.528919,500000,64.0,8.0,
IVFPQ,1024,4,178.9395688079967,44.34025955200195,6910.83984375,13513.66015625,97.875,8,29191.669903601527,0.0345493683656968,0.0734277920251769,0.4865,0.60832,0.673602,500000,64.0,8.0,
IVFPQ,1024,16,178.9395688079967,44.34025955200195,6910.83984375,13513.66015625,97.875,8,14320.65629841013,0.0695663226305138,0.099201563803217,0.4909,0.61632,0.690301,500000,64.0,8.0,
IVFPQ,1024,64,178.9395688079967,44.34025955200195,6910.83984375,13513.66015625,97.875,8,4794.060282034129,0.2086452039330955,0.2408591800674912,0.491,0.61658,0.691026,500000,64.0,8.0,
IVFPQ,1024,256,178.9395688079967,44.34025955200195,6910.83984375,13513.66015625,97.875,8,1412.1167945115783,0.7088560731330896,0.9117983579548308,0.491,0.6166,0.691047,500000,64.0,8.0,
IVFPQ,1024,1024,178.9395688079967,44.34025955200195,6910.83984375,13513.66015625,97.875,8,573.3250712694847,1.7444765512650824,1.895206954211608,0.491,0.6166,0.691047,500000,64.0,8.0,
IVFPQ,1024,1,186.414402653998,74.85783767700195,6969.3125,15620.13671875,113.5859375,8,30964.973994464883,0.0324812056340306,0.0382968140496813,0.5269,0.57949,0.54906,500000,128.0,8.0,
IVFPQ,1024,4,186.414402653998,74.85783767700195,6969.3125,15620.13671875,113.5859375,8,19247.18074653053,0.0532243170325576,0.1174094579546362,0.6219,0.71059,0.75152,500000,128.0,8.0,
IVFPQ,1024,16,186.414402653998,74.85783767700195,6969.3125,15620.13671875,113.5859375,8,7490.730110993717,0.1338188584997018,0.1739826099976198,0.6331,0.72832,0.785601,500000,128.0,8.0,
IVFPQ,1024,64,186.414402653998,74.85783767700195,6969.3125,15620.13671875,113.5859375,8,1916.594698679115,0.5197059428994787,0.7160701840453839,0.6334,0.72929,0.787989,500000,128.0,8.0,
IVFPQ,1024,256,186.414402653998,74.85783767700195,6969.3125,15620.13671875,113.5859375,8,668.1083221174254,1.494797090267093,1.632656474606483,0.6334,0.72933,0.788075,500000,128.0,8.0,
IVFPQ,1024,1024,186.414402653998,74.85783767700195,6969.3125,15620.13671875,113.5859375,8,255.6526734160824,3.911650793935528,4.157535499575897,0.6334,0.72933,0.788076,500000,128.0,8.0,
IVFPQ,4096,1,678.148329738,53.10490798950195,6996.59375,12575.41796875,128.0078125,8,15397.388039119784,0.0666979410997252,0.1548748059867647,0.3137,0.40209,0.345789,500000,32.0,8.0,
IVFPQ,4096,4,678.148329738,53.10490798950195,6996.59375,12575.41796875,128.0078125,8,14931.239172505237,0.0677803656673252,0.1109932099614524,0.3675,0.49876,0.561425,500000,32.0,8.0,
IVFPQ,4096,16,678.148329738,53.10490798950195,6996.59375,12575.41796875,128.0078125,8,13624.2546588783,0.0745888504312461,0.1622670879616634,0.3719,0.50781,0.588253,500000,32.0,8.0,
IVFPQ,4096,64,678.148329738,53.10490798950195,6996.59375,12575.41796875,128.0078125,8,10667.969365134824,0.0955560606992852,0.1670015658171905,0.3719,0.50825,0.589497,500000,32.0,8.0,
IVFPQ,4096,256,678.148329738,53.10490798950195,6996.59375,12575.41796875,128.0078125,8,5515.514863394745,0.1813424987694209,0.2437421520189673,0.3719,0.50826,0.589511,500000,32.0,8.0,
IVFPQ,4096,1024,678.148329738,53.10490798950195,6996.59375,12575.41796875,128.0078125,8,2129.2204448168777,0.4692873070330582,0.4988225241468171,0.3719,0.50826,0.589511,500000,32.0,8.0,
IVFPQ,4096,1,664.4453966999972,68.36369705200195,7076.37109375,13679.1953125,310.94921875,8,14755.108889704614,0.0680205888667842,0.1139211681896995,0.3903,0.44031,0.349492,500000,64.0,8.0,
IVFPQ,4096,4,664.4453966999972,68.36369705200195,7076.37109375,13679.1953125,310.94921875,8,14053.764452278276,0.0713584318326563,0.0778260820377909,0.4816,0.59113,0.620528,500000,64.0,8.0,
IVFPQ,4096,16,664.4453966999972,68.36369705200195,7076.37109375,13679.1953125,310.94921875,8,12320.751197029416,0.0819384552671787,0.1504995699920981,0.4932,0.61107,0.673069,500000,64.0,8.0,
IVFPQ,4096,64,664.4453966999972,68.36369705200195,7076.37109375,13679.1953125,310.94921875,8,7866.524716698868,0.1264527563672648,0.2268789999718137,0.4935,0.61231,0.677082,500000,64.0,8.0,
IVFPQ,4096,256,664.4453966999972,68.36369705200195,7076.37109375,13679.1953125,310.94921875,8,3519.35811953181,0.284991667435194,0.3421112242307572,0.4936,0.6124,0.677181,500000,64.0,8.0,
IVFPQ,4096,1024,664.4453966999972,68.36369705200195,7076.37109375,13679.1953125,310.94921875,8,1092.3522374103195,0.9151448059671868,1.0956843720043252,0.4936,0.6124,0.677181,500000,64.0,8.0,
IVFPQ,4096,1,671.0040996149983,98.88127517700195,7359.52734375,16010.3515625,548.95703125,8,13145.605619344537,0.0752574901643432,0.1599348860043392,0.446,0.46733,0.351251,500000,128.0,8.0,
IVFPQ,4096,4,671.0040996149983,98.88127517700195,7359.52734375,16010.3515625,548.95703125,8,12766.71791403906,0.0790434039665948,0.1034231085861391,0.6003,0.68428,0.675389,500000,128.0,8.0,
IVFPQ,4096,16,671.0040996149983,98.88127517700195,7359.52734375,16010.3515625,548.95703125,8,9637.987270977334,0.1029563420988173,0.1706862949860806,0.6275,0.72682,0.771396,500000,128.0,8.0,
IVFPQ,4096,64,671.0040996149983,98.88127517700195,7359.52734375,16010.3515625,548.95703125,8,5082.594217021678,0.196813340166409,0.2579291024136182,0.6299,0.73077,0.78379,500000,128.0,8.0,
IVFPQ,4096,256,671.0040996149983,98.88127517700195,7359.52734375,16010.3515625,548.95703125,8,1696.2768174000173,0.5898010230672904,0.8008178975389455,0.6301,0.73097,0.784394,500000,128.0,8.0,
IVFPQ,4096,1024,671.0040996149983,98.88127517700195,7359.52734375,16010.3515625,548.95703125,8,497.6550238238853,2.009972695533118,2.151047982197633,0.6301,0.73097,0.784403,500000,128.0,8.0,
IVFSQ,256,1,45.27521496400004,982.3949508666992,7070.1953125,11363.18359375,225.640625,8,5208.76765231542,0.1911294141331988,0.3484809651701652,0.7644,0.74739,0.694823,500000,,,SQ8
IVFSQ,256,4,45.27521496400004,982.3949508666992,7070.1953125,11363.18359375,225.640625,8,1352.1920572113431,0.739800659899629,1.0771837823725945,0.9548,0.95099,0.935638,500000,,,SQ8
IVFSQ,256,16,45.27521496400004,982.3949508666992,7070.1953125,11363.18359375,225.640625,8,358.6934018512023,2.7857151048333133,3.3313449992150708,0.9826,0.98461,0.986948,500000,,,SQ8
IVFSQ,256,64,45.27521496400004,982.3949508666992,7070.1953125,11363.18359375,225.640625,8,120.8443765362139,8.276412547633905,8.68005952615349,0.9847,0.98759,0.993006,500000,,,SQ8
IVFSQ,256,256,45.27521496400004,982.3949508666992,7070.1953125,11363.18359375,225.640625,8,62.35519995772347,16.037257697700017,16.5653415910092,0.9847,0.98768,0.993241,500000,,,SQ8
IVFSQ,256,1,45.25290466800288,494.1137008666992,6964.3125,11263.12890625,45.28515625,8,4272.905391113202,0.2342319503316199,0.4271068033907795,0.6145,0.67494,0.668454,500000,,,SQ4
IVFSQ,256,4,45.25290466800288,494.1137008666992,6964.3125,11263.12890625,45.28515625,8,1129.014653794442,0.8841768956657082,1.303541590597888,0.7438,0.82148,0.86466,500000,,,SQ4
IVFSQ,256,16,45.25290466800288,494.1137008666992,6964.3125,11263.12890625,45.28515625,8,339.10604581725426,2.949111935433272,3.428454329012311,0.7629,0.84033,0.896779,500000,,,SQ4
IVFSQ,256,64,45.25290466800288,494.1137008666992,6964.3125,11263.12890625,45.28515625,8,128.8331484732668,7.764287560635057,7.953246429772117,0.7645,0.84194,0.900441,500000,,,SQ4
IVFSQ,256,256,45.25290466800288,494.1137008666992,6964.3125,11263.12890625,45.28515625,8,69.35114720817865,14.418522868200188,14.502180952017806,0.7645,0.84199,0.900586,500000,,,SQ4
IVFSQ,1024,1,166.02967457499835,988.4008102416992,7013.76171875,11300.6171875,175.33984375,8,28548.54218401549,0.0361965796012858,0.0999533879614318,0.7007,0.65608,0.567765,500000,,,SQ8
IVFSQ,1024,4,166.02967457499835,988.4008102416992,7013.76171875,11300.6171875,175.33984375,8,11274.996454313428,0.0892289819336535,0.1243568141893774,0.926,0.91063,0.87063,500000,,,SQ8
IVFSQ,1024,16,166.02967457499835,988.4008102416992,7013.76171875,11300.6171875,175.33984375,8,2826.699411889889,0.3565942906314982,0.5198233800205344,0.9777,0.9795,0.973561,500000,,,SQ8
IVFSQ,1024,64,166.02967457499835,988.4008102416992,7013.76171875,11300.6171875,175.33984375,8,688.6242205081883,1.4533218560328047,1.699342604143021,0.9848,0.98919,0.992664,500000,,,SQ8
IVFSQ,1024,256,166.02967457499835,988.4008102416992,7013.76171875,11300.6171875,175.33984375,8,174.5806564069879,5.728850542233219,6.038519385233667,0.9856,0.99005,0.994081,500000,,,SQ8
IVFSQ,1024,1024,166.02967457499835,988.4008102416992,7013.76171875,11300.6171875,175.33984375,8,73.16627730330877,13.67595153023176,15.258207988756476,0.9856,0.99009,0.994114,500000,,,SQ8
IVFSQ,1024,1,165.9712593990007,500.1195602416992,6964.30859375,11263.125,20.8515625,8,24365.314441795734,0.0420440803993794,0.0815415247583586,0.5959,0.61776,0.561579,500000,,,SQ4
IVFSQ,1024,4,165.9712593990007,500.1195602416992,6964.30859375,11263.125,20.8515625,8,8566.311727440974,0.1174035667675828,0.1734694880062307,0.76,0.81726,0.832817,500000,,,SQ4
IVFSQ,1024,16,165.9712593990007,500.1195602416992,6964.30859375,11263.125,20.8515625,8,1963.9040180012223,0.5125706496680019,0.721491519830306,0.7908,0.85887,0.90394,500000,,,SQ4
IVFSQ,1024,64,165.9712593990007,500.1195602416992,6964.30859375,11263.125,20.8515625,8,573.0494801628438,1.746363192368517,2.056168858428282,0.7947,0.86359,0.913903,500000,,,SQ4
IVFSQ,1024,256,165.9712593990007,500.1195602416992,6964.30859375,11263.125,20.8515625,8,181.12477166243656,5.518314506798318,5.722511537016544,0.795,0.86406,0.91469,500000,,,SQ4
IVFSQ,1024,1024,165.9712593990007,500.1195602416992,6964.30859375,11263.125,20.8515625,8,70.77129835850393,14.13197146393298,14.20450664161108,0.795,0.86409,0.914714,500000,,,SQ4
IVFSQ,4096,1,652.163797725003,1012.4242477416992,6890.3046875,11174.08984375,29.46875,8,15726.493283423672,0.0644065574998724,0.0980542396326199,0.5559,0.49402,0.352034,500000,,,SQ8
IVFSQ,4096,4,652.163797725003,1012.4242477416992,6890.3046875,11174.08984375,29.46875,8,12649.92634189921,0.0787598171671561,0.1467893561573873,0.8703,0.83306,0.731587,500000,,,SQ8
IVFSQ,4096,16,652.163797725003,1012.4242477416992,6890.3046875,11174.08984375,29.46875,8,7644.912562879608,0.1320136002325549,0.1975823478212987,0.9658,0.95781,0.924316,500000,,,SQ8
IVFSQ,4096,64,652.163797725003,1012.4242477416992,6890.3046875,11174.08984375,29.46875,8,2792.253558621843,0.3617973727343875,0.535823687793163,0.986,0.98712,0.984836,500000,,,SQ8
IVFSQ,4096,256,652.163797725003,1012.4242477416992,6890.3046875,11174.08984375,29.46875,8,790.0661142051817,1.2653133605338855,1.485266402606794,0.9889,0.9908,0.994323,500000,,,SQ8
IVFSQ,4096,1024,652.163797725003,1012.4242477416992,6890.3046875,11174.08984375,29.46875,8,208.82006873827905,4.788215641466013,5.078770434202307,0.9891,0.99096,0.99471,500000,,,SQ8
IVFSQ,4096,1,652.5332195569972,524.1429977416992,6665.65625,10958.47265625,-104.02734375,8,15133.907125738511,0.0693026355317367,0.159975677782495,0.4946,0.4828,0.351932,500000,,,SQ4
IVFSQ,4096,4,652.5332195569972,524.1429977416992,6665.65625,10958.47265625,-104.02734375,8,12077.421878177816,0.0824593315645567,0.1152121542552773,0.7372,0.77393,0.720067,500000,,,SQ4
IVFSQ,4096,16,652.5332195569972,524.1429977416992,6665.65625,10958.47265625,-104.02734375,8,7070.261620657773,0.1420996391016767,0.2172497796200332,0.7981,0.86079,0.882815,500000,,,SQ4
IVFSQ,4096,64,652.5332195569972,524.1429977416992,6665.65625,10958.47265625,-104.02734375,8,2298.8744523549203,0.4324540950350638,0.61791155563551,0.8093,0.8767,0.920243,500000,,,SQ4
IVFSQ,4096,256,652.5332195569972,524.1429977416992,6665.65625,10958.47265625,-104.02734375,8,719.3129568323216,1.389737614333717,1.6619408492239016,0.8114,0.87836,0.924881,500000,,,SQ4
IVFSQ,4096,1024,652.5332195569972,524.1429977416992,6665.65625,10958.47265625,-104.02734375,8,210.6460213468508,4.746678111465493,4.951835486380878,0.8116,0.87842,0.925117,500000,,,SQ4
