family,n,config,build_s,size_mb,rss_mb,rss_peak_mb,rss_delta_mb,qps,latency_ms,latency_p99_ms,recall_1,recall_10,recall_100
IVFFlat,100000,"{'nlist': 4096, 'nprobe': 64}",130.4147423960021,814.044322013855,1457.9296875,2534.4453125,935.4375,6048.809850529155,0.16538441033316,0.20919376792153344,0.99108,0.97972,0.9306884
IVFPQ,100000,"{'nlist': 4096, 'nprobe': 64, 'M': 64}",143.82587745699857,40.89787673950195,1373.28125,4849.58984375,263.24609375,10229.356464407625,0.09845034150775367,0.1686048818854033,0.55664,0.61846,0.67737
IVFSQ,100000,"{'nlist': 4096, 'nprobe': 64, 'sq': 'SQ8'}",142.02634760699584,228.12248992919922,1108.37109375,2647.68359375,39.07421875,8847.168451548618,0.11375714727958743,0.16860788804187904,0.98408,0.974868,0.9298152
HNSW,100000,"{'M': 32, 'efC': 200, 'efS': 160}",11.52170893800212,807.209810256958,1863.3984375,3035.71484375,781.2578125,9557.111334690146,0.1046073995095018,0.16954532224335708,0.99432,0.993964,0.982776
LSH,100000,{'nbits': 4096},12.191752737002389,80.82821369171143,1170.421875,3123.9921875,104.8359375,1879.6555637944998,0.5306279914660262,0.7247594691943959,0.39524,0.49874,0.5520412
IVFFlat,250000,"{'nlist': 4096, 'nprobe': 64}",267.7325319800002,1987.0637311935425,3184.30078125,5367.76953125,2168.0,1950.876356051298,0.5124731649593256,0.6955379020029795,0.996,0.98956,0.9668332
IVFPQ,250000,"{'nlist': 4096, 'nprobe': 64, 'M': 64}",284.09673638499953,51.19755935668945,1996.3046875,6645.06640625,40.046875,9275.232711209166,0.10764395809043587,0.13765696014743298,0.51368,0.60016,0.6549128
IVFSQ,250000,"{'nlist': 4096, 'nprobe': 64, 'sq': 'SQ8'}",279.910895771005,522.2356491088867,2005.08984375,5049.80078125,80.3046875,5112.382664607753,0.1955781268128582,0.2636805438873125,0.98604,0.982592,0.9646812
HNSW,250000,"{'M': 32, 'efC': 200, 'efS': 160}",47.4051550830045,2018.0150470733643,3450.34765625,6844.3671875,2018.0078125,5982.420780974996,0.1670840879731501,0.30523732801812004,0.99776,0.997716,0.9900552
LSH,250000,{'nbits': 4096},30.460540991000016,154.07040119171143,1500.703125,4626.7109375,122.984375,935.1874308913417,1.0693820010922113,1.278889893334417,0.33704,0.438332,0.5066672
IVFFlat,500000,"{'nlist': 4096, 'nprobe': 64}",296.53126193299977,3942.096079826355,6322.5546875,10301.26171875,4970.8125,706.6729912142778,1.4154375021726204,1.8315865957774804,0.99556,0.992816,0.9793944
IVFPQ,500000,"{'nlist': 4096, 'nprobe': 64, 'M': 64}",316.96103926900105,68.36369705200195,3324.52734375,9536.72265625,278.13671875,7718.715060034527,0.1296465159324968,0.16764765148982402,0.4732,0.579788,0.6366436
IVFSQ,500000,"{'nlist': 4096, 'nprobe': 64, 'sq': 'SQ8'}",308.53422597299505,1012.4242477416992,2663.88671875,6953.45703125,282.390625,2567.8687555452993,0.3893502083609928,0.5778292499613599,0.98352,0.984176,0.9759336
HNSW,500000,"{'M': 32, 'efC': 200, 'efS': 160}",127.40316891799739,4036.0126667022705,6132.9921875,12285.5390625,4033.8359375,4612.511543536149,0.21663531798752955,0.403277824097313,0.997,0.997048,0.9909236
LSH,500000,{'nbits': 4096},60.923991427000146,276.1407136917114,2166.52734375,7246.59765625,244.6328125,516.2077962906984,1.937593877746549,2.1926975642127218,0.30364,0.391688,0.465494
IVFFlat,1000000,"{'nlist': 4096, 'nprobe': 64}",357.8099311929982,7852.16077709198,11775.80078125,19639.296875,9879.734375,306.52740778544705,3.2615652916556184,4.119691827833594,0.9972,0.995328,0.9880452
IVFPQ,1000000,"{'nlist': 4096, 'nprobe': 64, 'M': 64}",387.09878195299825,102.69597244262695,4285.9765625,14150.35546875,128.71484375,5683.759175240771,0.17580242405470925,0.2361536100404919,0.43836,0.556112,0.631224
IVFSQ,1000000,"{'nlist': 4096, 'nprobe': 64, 'sq': 'SQ8'}",369.99010641899804,1992.8014450073242,4905.62109375,12721.9921875,699.5625,1244.8704948185834,0.802933656052143,1.0529130700509994,0.98212,0.983672,0.9829772
HNSW,1000000,"{'M': 32, 'efC': 200, 'efS': 160}",314.4895089339989,8072.0229206085205,9500.171875,21611.63671875,7689.90625,4197.110241416468,0.2386836300934859,0.43417297005944416,0.998,0.99772,0.9920564
LSH,1000000,{'nbits': 4096},127.22157065200008,520.2813386917114,1276.14453125,10264.40234375,549.5625,270.0543373329175,3.698831114798959,4.204328134836396,0.26548,0.342608,0.4162116
