family,threshold,recall_100,qps,size_mb,build_s,latency_ms,latency_p99_ms,rss_mb,rss_peak_mb,rss_delta_mb,config
IVFFlat,0.95,0.9780048,1235.4422213762284,790.020884513855,27.35894564099908,0.8089414335800029,,3321.78125,3321.78125,,"nlist=1024, nprobe=64"
IVFFlat,-1.0,0.8744244,5655.562529690884,790.020884513855,27.35894564099908,0.1767644081800244,,3321.78125,3321.78125,,"nlist=1024, nprobe=16"
IVFPQ,0.5,0.5493796,87889.5143307578,7.816822052001953,32.51028783499896,0.0113326552199941,,4612.30078125,4612.30078125,,"nlist=256, nprobe=4, M=32, nbits=8"
IVFPQ,-1.0,0.6180872,60064.7373895254,10.868579864501951,12.467062310999609,0.0166281131600044,,5478.65625,5478.65625,,"nlist=256, nprobe=4, M=64, nbits=8"
IVFSQ,0.95,0.991324,843.4613582399057,198.0931930541992,7.020169866000288,1.1831602635599847,,3204.6328125,3204.6328125,,"nlist=256, nprobe=64, sq=SQ8"
IVFSQ,-1.0,0.767794,12234.573581056737,198.0931930541992,7.020169866000288,0.0817065436400298,,3204.6328125,3204.6328125,,"nlist=256, nprobe=4, sq=SQ8"
HNSW,0.95,0.9597396,15455.207611289345,788.9359912872314,9.218743610001184,0.0646874216599826,,2718.1171875,2718.1171875,,"M=8, efConstruction=200, efSearch=160"
HNSW,-1.0,0.9019008,24326.634002806793,788.9359912872314,9.218743610001184,0.0410086638999928,,2718.1171875,2718.1171875,,"M=8, efConstruction=200, efSearch=80"
LSH,0.2,0.253078,59939.40840272399,2.525967597961426,0.5719557219999842,0.0168140067466932,,2469.46875,2469.46875,,nbits=128
LSH,-1.0,0.436232,21934.520780759416,10.103604316711426,1.6937382350006374,0.0455903842666884,,2714.6015625,2714.6015625,,nbits=512
