algo,M,efConstruction,efSearch,build_s,size_mb,rss_mb,rss_peak_mb,qps,latency_ms,recall_1,recall_10,recall_100,n_base,study
HNSW,32,40,10,5.346927743999913,807.209810256958,2529.27734375,2529.27734375,34882.37072283056,0.02860797266002919,0.93192,0.901968,0.7115344,100000,varyEFC
HNSW,32,40,20,5.346927743999913,807.209810256958,2529.27734375,2529.27734375,23143.86304047095,0.04313952900000004,0.96576,0.951012,0.8350208,100000,varyEFC
HNSW,32,40,40,5.346927743999913,807.209810256958,2529.27734375,2529.27734375,14315.695335599432,0.06978239613999904,0.98292,0.976864,0.920744,100000,varyEFC
HNSW,32,40,80,5.346927743999913,807.209810256958,2529.27734375,2529.27734375,8897.658449529828,0.11222943200002192,0.99132,0.988964,0.9665824,100000,varyEFC
HNSW,32,40,160,5.346927743999913,807.209810256958,2529.27734375,2529.27734375,5432.759486855935,0.18085635782001191,0.99516,0.994576,0.9866984,100000,varyEFC
HNSW,32,40,320,5.346927743999913,807.209810256958,2529.27734375,2529.27734375,3461.93938809974,0.2885849738199977,0.99732,0.997244,0.994898,100000,varyEFC
HNSW,32,100,10,6.328612500001327,807.209810256958,2529.28515625,2529.28515625,62581.780775781575,0.01593208558002516,0.87664,0.82378,0.5303376,100000,varyEFC
HNSW,32,100,20,6.328612500001327,807.209810256958,2529.28515625,2529.28515625,41799.965922065865,0.023713249639986316,0.93776,0.908428,0.6945,100000,varyEFC
HNSW,32,100,40,6.328612500001327,807.209810256958,2529.28515625,2529.28515625,25831.757776077207,0.03844676400000026,0.96896,0.955748,0.842458,100000,varyEFC
HNSW,32,100,80,6.328612500001327,807.209810256958,2529.28515625,2529.28515625,15187.438782852842,0.0643415004599956,0.98484,0.979124,0.9323732,100000,varyEFC
HNSW,32,100,160,6.328612500001327,807.209810256958,2529.28515625,2529.28515625,10034.557253105797,0.0996218492600383,0.99232,0.989712,0.972288,100000,varyEFC
HNSW,32,100,320,6.328612500001327,807.209810256958,2529.28515625,2529.28515625,6007.930821470109,0.16479235435999726,0.99572,0.9945,0.9884696,100000,varyEFC
HNSW,32,200,10,11.548603608000121,807.209810256958,2685.1015625,2685.1015625,54927.268409102835,0.018122390460011958,0.90736,0.855576,0.562246,100000,varyEFC
HNSW,32,200,20,11.548603608000121,807.209810256958,2685.1015625,2685.1015625,36187.7102969738,0.027476817699971436,0.95796,0.932684,0.7299788,100000,varyEFC
HNSW,32,200,40,11.548603608000121,807.209810256958,2685.1015625,2685.1015625,22378.351164472846,0.044686019680011665,0.98,0.97116,0.873776,100000,varyEFC
HNSW,32,200,80,11.548603608000121,807.209810256958,2685.1015625,2685.1015625,13457.26099142766,0.07421495331996994,0.99056,0.987792,0.9524476,100000,varyEFC
HNSW,32,200,160,11.548603608000121,807.209810256958,2685.1015625,2685.1015625,8308.45780512508,0.11955809808001504,0.99448,0.993992,0.9828104,100000,varyEFC
HNSW,32,200,320,11.548603608000121,807.209810256958,2685.1015625,2685.1015625,5109.571069631439,0.19555225250001967,0.99728,0.99692,0.9934156,100000,varyEFC
