algo,M,efConstruction,efSearch,build_s,size_mb,rss_mb,rss_peak_mb,qps,latency_ms,recall_1,recall_10,recall_100,n_base,study
HNSW,8,200,10,9.218743610001184,788.9359912872314,2718.1171875,2718.1171875,80443.43562244077,0.012360879379994003,0.83604,0.771192,0.4488808,100000,varyM
HNSW,8,200,20,9.218743610001184,788.9359912872314,2718.1171875,2718.1171875,56379.05967346362,0.01761586227999942,0.9158,0.87778,0.6166056,100000,varyM
HNSW,8,200,40,9.218743610001184,788.9359912872314,2718.1171875,2718.1171875,37454.67609651596,0.026584741919978113,0.95904,0.94124,0.784614,100000,varyM
HNSW,8,200,80,9.218743610001184,788.9359912872314,2718.1171875,2718.1171875,24326.634002806793,0.041008663899992824,0.97916,0.972964,0.9019008,100000,varyM
HNSW,8,200,160,9.218743610001184,788.9359912872314,2718.1171875,2718.1171875,15455.207611289345,0.06468742165998265,0.98776,0.986748,0.9597396,100000,varyM
HNSW,8,200,320,9.218743610001184,788.9359912872314,2718.1171875,2718.1171875,8766.991046281222,0.11253442262001044,0.99228,0.993328,0.9837492,100000,varyM
HNSW,16,200,10,10.79483872899982,795.0146427154541,2521.41015625,2521.41015625,63266.07242196772,0.015733087439984958,0.89776,0.838056,0.5304744,100000,varyM
HNSW,16,200,20,10.79483872899982,795.0146427154541,2521.41015625,2521.41015625,42679.45686445885,0.023424276480000117,0.95328,0.922764,0.7008536,100000,varyM
HNSW,16,200,40,10.79483872899982,795.0146427154541,2521.41015625,2521.41015625,26367.411425207458,0.037725275379998494,0.97876,0.967712,0.8538968,100000,varyM
HNSW,16,200,80,10.79483872899982,795.0146427154541,2521.41015625,2521.41015625,16702.4199559067,0.05960775003997696,0.98996,0.986548,0.9429344,100000,varyM
HNSW,16,200,160,10.79483872899982,795.0146427154541,2521.41015625,2521.41015625,10266.737317924419,0.09704444891995082,0.99468,0.993836,0.9796708,100000,varyM
HNSW,16,200,320,10.79483872899982,795.0146427154541,2521.41015625,2521.41015625,6110.225849368676,0.16362921529998858,0.99672,0.996808,0.9924816,100000,varyM
HNSW,32,200,10,11.57920395400106,807.209810256958,2511.25,2511.25,54814.32783309555,0.018187577499993494,0.9048,0.854372,0.5614836,100000,varyM
HNSW,32,200,20,11.57920395400106,807.209810256958,2511.25,2511.25,35507.59725872998,0.027786078019998967,0.9572,0.932564,0.729724,100000,varyM
HNSW,32,200,40,11.57920395400106,807.209810256958,2511.25,2511.25,21978.316245959202,0.045481044339976504,0.97936,0.970852,0.873446,100000,varyM
HNSW,32,200,80,11.57920395400106,807.209810256958,2511.25,2511.25,13442.524941682015,0.07416032433997316,0.99052,0.987752,0.9524396,100000,varyM
HNSW,32,200,160,11.57920395400106,807.209810256958,2511.25,2511.25,8165.548545471953,0.12130629761999444,0.99452,0.993904,0.982684,100000,varyM
HNSW,32,200,320,11.57920395400106,807.209810256958,2511.25,2511.25,5075.719166375509,0.19673274667999066,0.99752,0.99716,0.9934824,100000,varyM
